on x=-5..46,y=-32..20,z=-18..26
on x=-47..-1,y=-28..19,z=-49..3
on x=-19..30,y=-22..31,z=-20..33
on x=-27..19,y=-38..7,z=-9..35
on x=-37..7,y=-11..34,z=-44..7
on x=-18..27,y=-13..39,z=1..45
on x=-8..37,y=-35..13,z=-29..21
on x=-8..46,y=-46..3,z=-18..30
on x=-34..10,y=0..48,z=-40..14
on x=-9..40,y=-42..5,z=-1..44
off x=6..25,y=6..16,z=12..23
on x=-28..26,y=-35..9,z=-19..35
off x=7..17,y=-38..-28,z=26..45
on x=-22..32,y=-8..36,z=-38..13
off x=30..41,y=-42..-29,z=8..27
on x=-24..23,y=-18..28,z=-10..43
off x=26..36,y=16..32,z=-47..-32
on x=-49..2,y=-19..28,z=-3..45
off x=-38..-22,y=1..12,z=1..16
on x=-39..8,y=-5..49,z=-28..18
on x=51548..69612,y=-60212..-36528,z=-25189..-16754
on x=-59209..-41074,y=-47258..-18479,z=43187..67447
on x=-7732..15267,y=28887..44205,z=-78972..-69135
on x=-56485..-41367,y=35643..60725,z=9955..38448
on x=-45609..-30383,y=42538..67043,z=-62848..-27707
on x=16585..38511,y=61520..81118,z=35888..62067
on x=-67525..-48645,y=7892..19788,z=-59876..-45177
on x=-78784..-51262,y=32167..54511,z=4045..30666
on x=-58038..-30559,y=-34516..-9371,z=-74896..-49631
on x=59490..71576,y=-46392..-27677,z=-19354..4915
on x=2789..22240,y=-85959..-62180,z=18830..28722
on x=-57568..-43338,y=63096..75178,z=926..32659
on x=-36402..-25163,y=56158..72356,z=-34059..-23691
on x=19381..37737,y=52036..68217,z=29949..43546
on x=37800..56883,y=-65115..-54626,z=7625..22209
on x=29861..55671,y=-70522..-59084,z=-9952..22480
on x=-4943..4619,y=-82644..-55578,z=-47007..-23182
on x=-77849..-71032,y=16058..44694,z=-1827..11132
on x=-23897..4513,y=-32899..-19780,z=74118..93642
on x=-60931..-43684,y=41018..76777,z=-3631..29159
on x=-69808..-59244,y=-51812..-25532,z=-45864..-9434
on x=-15717..2260,y=35502..45822,z=-72800..-64438
on x=-43443..-25264,y=-34577..-4572,z=-71311..-49556
on x=33953..53184,y=-24517..-12192,z=67205..70115
on x=-41613..-10171,y=-90989..-64734,z=1939..27480
on x=46293..54347,y=34679..57929,z=41751..66847
on x=-76583..-57535,y=-48670..-21474,z=5815..29534
on x=-80510..-57928,y=-29414..-6514,z=-37580..-9861
on x=34411..44577,y=45833..60226,z=34129..52711
on x=-54987..-24702,y=35411..65161,z=22013..51876
on x=63172..82294,y=1664..5780,z=-28578..-11907
on x=-67996..-54355,y=-44787..-25403,z=37322..54489
on x=-88986..-66707,y=-438..8596,z=15392..26773
on x=24230..44153,y=30762..34631,z=-74945..-53755
on x=35628..53039,y=15552..30471,z=-73777..-45796
on x=-52060..-30732,y=-42710..-35117,z=-69599..-56932
on x=-25002..1751,y=-81083..-59751,z=-50786..-30720
on x=-73739..-54969,y=31242..54593,z=-15062..-5453
on x=-47432..-33101,y=-76534..-50415,z=14492..27925
on x=-41274..-24626,y=13752..36312,z=-77251..-62098
on x=-6015..10536,y=65091..87672,z=-8552..19147
on x=10536..33835,y=-45299..-21530,z=60435..67449
on x=-6943..11903,y=-12128..16312,z=-90681..-78248
on x=19487..42357,y=47438..82073,z=21946..53196
on x=-21443..-4774,y=-40617..-24129,z=54316..78982
on x=63707..77304,y=-38874..-28037,z=-18266..6915
on x=-6608..25825,y=72777..97505,z=-17109..11691
on x=2889..21341,y=65169..90385,z=18937..38113
on x=-77060..-67800,y=-51373..-14093,z=-8648..14762
on x=42229..66044,y=-60623..-46142,z=-54862..-31092
on x=-31747..-1959,y=-56945..-43565,z=-66618..-51357
on x=40909..51753,y=-30080..-16886,z=48239..61214
on x=69140..93786,y=5799..19749,z=-6841..872
on x=-6320..9006,y=-86599..-63122,z=-13738..12967
on x=-8408..7465,y=4860..11903,z=77529..78985
on x=-72765..-50331,y=6535..18747,z=-58335..-51186
on x=-4003..16109,y=51255..89213,z=-55782..-20348
on x=-80053..-69750,y=-4588..15466,z=21830..30736
on x=65397..85386,y=6545..33466,z=-21152..-13938
on x=-11846..-3287,y=-25751..-7512,z=65275..84910
on x=-8452..15638,y=-14228..5220,z=-90071..-73008
on x=33452..61442,y=-19321..15551,z=49363..80378
on x=20735..47619,y=58344..71302,z=21735..41485
on x=11894..17984,y=31286..38843,z=69448..84141
on x=-28901..-20476,y=56147..81693,z=25668..51544
on x=6892..29595,y=64220..87570,z=-4733..20349
on x=-19082..4923,y=-77762..-69631,z=-38618..-23768
on x=36297..71252,y=-46927..-22141,z=43163..67184
on x=37857..43987,y=-40548..-13497,z=55402..60685
on x=-18613..3908,y=63432..84514,z=-37998..-30669
on x=12594..38169,y=66206..86022,z=-39692..-17639
on x=-32769..-1538,y=-49140..-26552,z=-79489..-51197
on x=53359..70274,y=26290..55000,z=-47687..-20020
on x=-66712..-35804,y=-77484..-56383,z=2674..24161
on x=-43228..-29410,y=45851..81707,z=-40520..-25586
on x=-20560..-9751,y=51994..82219,z=31331..68243
on x=-21397..-2481,y=41154..66963,z=49167..79202
on x=-16407..13119,y=48433..79148,z=34394..65994
on x=-36116..-19914,y=-17493..-1274,z=-83827..-59340
on x=-65917..-60015,y=-22232..-8123,z=44955..52754
on x=35522..62422,y=-47708..-41694,z=30631..52175
on x=-19027..-16358,y=-69201..-59790,z=40059..63066
on x=-11051..9182,y=40384..59830,z=-82502..-64612
on x=45221..58438,y=-57873..-30492,z=-62317..-37220
on x=20911..38767,y=-83455..-67100,z=15685..42250
on x=-85424..-62312,y=15633..41768,z=-11400..1596
on x=-22319..1952,y=14052..20241,z=-80323..-60026
on x=-36511..-3117,y=76591..88287,z=-7433..10958
on x=-66952..-44475,y=14319..31064,z=-58790..-36803
on x=54959..76207,y=-35201..-16191,z=-16849..-5914
on x=1597..26993,y=-10079..6267,z=63496..85390
on x=16494..39087,y=-17926..9408,z=-96055..-57690
on x=61259..85576,y=1205..18753,z=-43630..-35549
on x=9246..42812,y=4903..18157,z=-91998..-64639
on x=56336..60328,y=38496..41872,z=-45204..-16725
on x=38207..53167,y=32557..48679,z=-45752..-31483
